item_length,item_width
6.397371322408986,5.336803991262342
5.889388559063052,5.551855167842424
6.518150830480554,6.597834884098609
7.218423885126421,6.488296212346772
5.812677300221331,5.983278724828682
5.812690434440656,6.093861906647025
7.263370252405913,7.02213191663074
6.6139477833223275,5.526742888931336
5.624420491252038,6.43767790493603
6.434048034868772,5.838245878052884
5.62926584575003,5.825855037418224
5.627416197143795,6.879021481589752
6.193569817252827,6.660333079190424
4.469375804273762,6.650807708800511
4.620065733989573,7.044383045723463
5.550169976607222,6.016803073306208
5.189735103732461,6.545562377035971
6.2513978660762195,5.751786594725235
5.273580739583031,6.2593330819907536
4.870157038931767,5.895885556505853
7.172519015137244,6.077596771994174
5.819378959610772,6.4761256203495305
6.054022563750339,5.345423453413222
4.860201451029234,7.673909820548368
5.5644938203798535,5.195186094800238
6.088738071767893,5.028649109769814
5.079205138062157,6.926488698800054
6.300558414676537,6.6333301551703485
5.519489048064956,6.4992958536417245
5.766645000165378,6.502676407411424
5.5186347102164826,5.9902025817224684
7.48182254760715,5.282196502811335
5.989202220209653,6.060643646554981
5.1538312568352795,5.45827063079031
6.658035929682551,6.780095786734201
5.023325080023183,5.8823540947982895
6.167090876003805,5.339602242565991
4.43226390089618,5.742891326677605
4.937451160881255,6.3303451634205
6.157488988695299,5.54902035775682
6.590773263996328,5.342223683546855
6.137094624951977,6.19494976919353
5.907481374089407,6.195973256886978
5.759117043528569,5.594445459703096
4.817182407706058,5.6231693555053415
5.424124633284233,6.185639949886109
5.63148898323217,4.8415325268021405
6.845697780975133,4.874028980498756
6.274894631654769,5.4252446229980515
4.589567875709813,5.829242278630522
6.259267175515836,6.248726052478403
5.691934175666947,7.180284973559642
5.458462399755233,6.686127698561616
6.489341031072694,5.872049176029258
6.824799617996761,5.984787033677849
6.745024095292959,5.197976508289753
5.328625981421889,5.985189491206088
5.7526300993190285,5.769073088863889
6.265010745122851,6.258174848270472
6.780436101697887,5.338215245158142
5.616660609723768,6.415477211392938
5.851472818668946,7.2261911304020625
5.114932020795178,5.912991881234514
5.043034700735463,6.3213693776791535
6.650020657915358,6.55211519336889
7.0849920228566585,5.679023622491331
5.942391902735733,6.179273985448334
6.8028263183136195,6.010073920625436
6.289308820038107,6.078140878839065
5.4839041963159,5.381592172915627
6.2891164844067315,6.019608139407154
7.230429253172775,6.39839863299636
5.9713391687120385,7.160914886236034
