x1,x2
2.594675,-3.266358
1.86545,-3.762144
1.299272,-3.166188
0.781896,1.714512
-0.733158,2.714493
2.479724,-2.412872
-0.54897,-0.278338
5.260191,-3.784969
1.594294,2.331512
1.37612,2.920965
-0.513263,3.674438
1.428438,2.653099
3.082621,-2.231656
-0.595741,3.431074
1.021407,2.584693
0.935124,4.341219
1.402682,-4.070644
1.161893,2.881046
0.634636,1.489924
0.98114,4.805962
0.977953,1.768433
4.088926,-2.906827
3.513604,-2.924726
2.164466,-2.282778
0.2184,3.155238
4.771012,-3.128966
2.921052,-2.353398
3.555052,-3.6634
1.97293,-2.683122
0.809331,-3.996001
-0.982497,3.08491
-1.541495,-0.039335
2.43864,2.964188
-0.600669,1.345953
3.666297,-4.135215
-0.98665,2.496972
2.822808,-2.022278
1.274411,-4.201629
2.448127,-2.491829
1.264161,-2.179001
