x,y
-6.006571693977534,-7.27652860234237
-5.704622923798615,-3.9539402871839493
-7.468306749446672,-7.468273913898361
-3.841574368985217,-5.465130541694182
-7.938948771869904,-5.914879912828071
-7.9268353856249245,-7.931459507140514
-6.516075456867932,-10.826560489315597
-10.449835665026065,-8.124575058481945
-9.025662240668847,-6.371505334809452
-8.816048151042422,-9.824607402670583
-4.068702462156892,-7.451552600973072
-6.8649435906241525,-9.849496372426913
-8.088765449050365,-6.7781548205802675
-9.301987154844605,-6.248603963308656
-8.20127737983761,-7.583387499586554
-8.203413224458794,-3.2954436309821244
-7.026994449475868,-9.115421857911802
-5.354910175793622,-9.441687299942044
-6.5822728099904895,-10.919340247759552
-9.656372097796861,-6.606277528261753
-5.523066840009179,-6.657263437620059
-7.231296564776481,-7.6022073911785775
-9.957043980734856,-8.439688416789418
-7.921277541919575,-4.885755547562169
-6.312763420863077,-10.526080310725469
-6.35183206121041,-7.770164560832633
-8.353844000611918,-5.7766474223182644
-4.938000955008098,-5.137439761767602
-8.678435046445276,-7.618424751702429
-6.337473137192872,-5.048909745755282
-7.95834847569058,-7.371317953327634
-9.212669948012056,-9.392413248161342
-5.374948355211604,-4.287519942858355
-7.144020243160668,-4.992934204215952
-6.276727949904732,-8.290239509210249
-6.277208788983172,-3.9239268670680616
-7.071652078219903,-3.8707126883719876
-12.23949020817949,-5.356194991249552
-6.825905863523658,-7.598014700931735
-6.816478446928995,-10.975137829201785
-7.439343775675024,-6.2857748569765075
-4.044211910516967,-8.036540436547295
-8.616987205786375,-8.003514087169073
-5.169195764595852,-6.342497780680631
-8.059520407534077,-5.973465133773288
-6.805844901303919,-5.062710018934221
-8.404106187754705,-7.6553242931955365
-7.784216306264315,-9.927029896264237
-6.407759445870848,-6.477889455640222
-6.989773086715078,-7.469174266750294
-9.830741484100828,-7.841290645530718
-7.685429033053539,-8.604554538443239
-7.322571423332018,-6.1918982863709235
-3.2276281975789396,-6.650844374336322
-6.484899218554471,-7.148891831532334
-10.837542430598083,-7.053027750898433
-6.879539580117947,-2.0735157750294277
-7.384721929562245,-6.396905315332775
-7.0694235394104865,-9.337356075239065
-4.714354370969959,-5.496133934626451
-5.417936105913906,-8.818774909589479
-4.194411378127802,-9.803702125584561
-5.826285812399459,-2.619088748380043
-8.981072650261376,-8.132595459205543
-6.800697269824718,-8.006951308232399
-10.101326862132264,-6.862874050387945
-9.12460742745221,-6.0528151387296365
-8.838848468467607,-3.900131189964921
-8.566506584672474,-7.644123032411351
-5.37296556526066,-9.46172863286791
-6.5450801307917414,-4.385714491435143
-10.214966469122455,-6.630732282935392
-6.480234411503153,-5.436354256445379
-9.473901421756164,-9.640913226168554
-5.9561168687662045,-6.4060306535336276
-6.4990142993082465,-6.307103581006048
-8.360049443156981,-6.535492605677993
-6.413855053402638,-8.428702836052736
-3.268450977710487,-6.052334158176425
-9.382606994405297,-5.686892782732341
-8.949363340454642,-5.425830792515096
-4.682808841985192,-8.641364636703422
-5.073247741511357,-6.174438146127003
-5.35587968001102,-3.2064140346921053
-7.490776232005741,-8.507472328714979
-8.779028859251046,-8.631620569930877
-7.154203418828208,-6.317696050366712
-6.446618401339962,-5.345633501927953
-6.973996216244186,-4.092931845685366
-7.529313666475912,-1.5596616668207623
-5.748665304469988,-8.714315112832566
-9.141784996122224,-6.03505516951363
-7.446925570651702,-5.571999011815816
-6.05352475085291,-7.145657825313745
-8.69358743613681,-10.029694449371728
-7.893029904134043,-5.287202411353055
-6.5718125117395925,-9.491477557423977
-6.653638148297636,-6.229365240542326
-8.767714872402266,-6.692549788108944
-6.883582563108,-9.285940595661247
2.7155747206965666,6.121569052736469
4.166102486350554,7.1076041040698055
-0.7553387359141821,3.124349920169754
3.0300705344173195,6.027571901824418
3.030095372612096,12.705462981309442
3.141781021386334,7.271131280361198
3.9080035269864046,6.302782502611596
